name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
JTD_MH_G_PER_L_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_MHF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_MISCELLANEOUS_AMOUNT_GAIN_LOSS,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_PF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_PF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_QUANTITY,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
SALES_ORDER_MISCELLANEOUS_REVENUE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
JTD_UNIT_COST,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
JTD_UOM_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CREATED_TIMESTAMP,TIMESTAMP_NTZ(3),COLUMN,Y,,N,N,,,,,
UPDATED_TIMESTAMP,TIMESTAMP_NTZ(3),COLUMN,Y,,N,N,,,,,
JOB_RUN_ID,"NUMBER(32,0)",COLUMN,N,,N,N,,,,,
